VFID,prefix,RA,DEC,vr,FLUX_AP06_FUV,FLUX_AP06_NUV,FLUX_AP06_G,FLUX_AP06_R,FLUX_AP06_Z,FLUX_AP06_W1,FLUX_AP06_W2,FLUX_AP06_W3,FLUX_AP06_W4,FLUX_IVAR_AP06_FUV,FLUX_IVAR_AP06_NUV,FLUX_IVAR_AP06_G,FLUX_IVAR_AP06_R,FLUX_IVAR_AP06_Z,FLUX_IVAR_AP06_W1,FLUX_IVAR_AP06_W2,FLUX_IVAR_AP06_W3,FLUX_IVAR_AP06_W4,logMstar,logSFR,logmass,logsfr
11,VFID0011-NGC3155,154.4161905,74.3473859,2944.0,197.29855346679688,296.9969482421875,2513.506591796875,4402.35205078125,5445.00048828125,4388.39208984375,2503.45654296875,10082.259765625,12638.412109375,0.012727200984954834,0.021092066541314125,0.5859264135360718,0.18805640935897827,0.05233297497034073,0.06965701282024384,0.02699882909655571,0.0001278112904401496,5.103635885461699e-06,9.845718017966659,-0.40340290437353976,10.0,-0.24
12,VFID0012-WISEAJ072119.85+741922.5,110.33325,74.323799,966.0,-36.40980911254883,-45.19657516479492,409.0628967285156,573.0584106445312,442.45733642578125,350.6639709472656,107.919677734375,-640.2523803710938,-1332.096435546875,0.03775697201490402,0.04236918315291405,0.14174610376358032,0.0384797565639019,0.0166123379021883,0.0416891872882843,0.010152908973395824,3.6840050597675145e-05,1.4977789533077157e-06,7.6072405038317426,-1.507938395487401,,
13,VFID0013-UGC04883,139.6340505,74.3191954,2966.0,24.278995513916016,112.58082580566406,4784.52685546875,9327.880859375,13173.0234375,10306.267578125,5966.380859375,11515.15234375,23610.71484375,0.06306735426187515,0.053886886686086655,0.5527510643005371,0.14693909883499146,0.07554242014884949,0.0424029678106308,0.02335403487086296,0.0001673191727604717,6.7726791712630074e-06,10.279894980011639,-1.1375108330941028,10.46,-0.2
14,VFID0014-UGC10892,262.26691650000004,74.2578333,1928.2,33.18526840209961,62.72728729248047,964.6655883789062,1446.7928466796875,1428.5035400390625,1053.905517578125,504.3824768066406,-1495.2017822265625,-773.164306640625,0.0051369452849030495,0.016334092244505882,0.10200215876102448,0.045826446264982224,0.0048968251794576645,0.03803480789065361,0.009604067541658878,4.41902520833537e-05,1.7315127252004459e-06,8.92752434087503,-4.178224532816536,8.88,-1.31
15,VFID0015-NGC4572,188.9393595,74.242585,2188.3,64.89837646484375,126.2809066772461,2174.51171875,4292.64501953125,5380.9443359375,4047.68359375,2296.716552734375,6696.64306640625,9917.1630859375,0.9343408346176147,1.3403664827346802,0.4983680546283722,0.12724894285202026,0.025019105523824692,0.06707030534744263,0.024275027215480804,0.0001562492543598637,6.211896106833592e-06,9.66133934000604,-1.0228710994193178,9.84,-0.74
16,VFID0016-HolmbergIII,138.6996255,74.2324722,1126.9,210.02850341796875,533.6454467773438,4133.72021484375,6704.625,2238.33837890625,2211.56640625,1076.306396484375,4351.1318359375,4167.677734375,0.02657383494079113,0.2623680531978607,0.2554578483104706,0.07789178937673569,0.025882337242364883,0.049481865018606186,0.014058965258300304,5.11288053530734e-05,2.054394144579419e-06,8.746712022516661,-1.7886124470631413,9.32,-0.8
17,VFID0017-UGC05686,157.678335,74.2275172,2806.5,38.91591262817383,43.88170623779297,350.615234375,567.2704467773438,329.1300964355469,332.71356201171875,178.70635986328125,331.67730712890625,618.4119262695312,0.05492648482322693,0.10795425623655319,2.1404476165771484,0.8109344840049744,0.22761721909046173,0.3495400846004486,0.0959099754691124,0.00036928412737324834,1.4827630366198719e-05,8.823604628355158,-1.456925764966468,,
18,VFID0018-NGC4589,189.35429100000002,74.1918611,2001.9,29.043004989624023,196.65794372558594,25844.091796875,56371.83203125,64622.39453125,34949.20703125,18697.248046875,9031.5869140625,5388.66650390625,1.584320068359375,1.0155013799667358,0.2054125815629959,0.07810743153095245,0.019264589995145798,0.013291300274431705,0.008882874622941017,0.00013904097431804985,5.464468813443091e-06,10.823409014892544,-2.87484417041947,10.63,-1.16
19,VFID0019-NGC3183,155.4540195,74.1769917,3092.5,331.2344665527344,682.8675537109375,11310.771484375,19597.283203125,25953.58984375,16571.4921875,10345.708984375,62680.75,91532.140625,0.12111544609069824,0.2043362855911255,0.3069807291030884,0.11991408467292786,0.03338874131441116,0.019906898960471153,0.008827843703329563,6.0938593378523365e-05,2.4481662421749206e-06,10.6667051361199,0.005180512503780314,10.45,0.27
20,VFID0020-NGC2633,132.0193335,74.0987778,2167.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08,0.74
21,VFID0021-CGCG340-051,278.702208,74.0618056,1678.8,0.0,-790.52392578125,793.8306274414062,1305.145751953125,1500.6724853515625,976.5250854492188,554.7796020507812,1225.455810546875,2220.361328125,0.0,2.159485340118408,0.9519033432006836,0.11634620279073715,0.09813263267278671,0.21420754492282867,0.07022606581449509,0.00028679787646979094,1.1088042811024934e-05,8.551571973674253,-1.7265357273786537,8.92,-1.54
22,VFID0022-WISEAJ084823.84+740217.5,132.0992085,74.0382222,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
